scheduled_arrival_utc,scheduled_arrival_frankfurt,flight_number,from_airport_name,airline,aircraft_model
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,UA 9044,Marseille,United,Airbus A320 (Sharklets)
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,UA 8726,Goteborg,United,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,SN 7066,Goteborg,Brussels,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,NH 5407,Goteborg,ANA,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 821,Goteborg,Lufthansa,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AC 9086,Goteborg,Air Canada,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,A3 1459,Goteborg,Aegean,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AC 9450,Washington,Air Canada,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,OS 7430,Goteborg,Austrian,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,UA 8826,Washington,United,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AI 8645,Washington,Air India,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 9573,Trieste,Lufthansa,Embraer 190
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,EN 8821,Trieste,Air Dolomiti,Embraer 190
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AZ 7474,Trieste,ITA,Embraer 190
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AC 9104,Toronto,Air Canada,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 471,Toronto,Lufthansa,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 1377,Wrocław,Lufthansa,Bombardier CRJ900
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 419,Washington,Lufthansa,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,SQ 2187,Goteborg,Singapore,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,TG 7717,Washington,Thai  International,Boeing 747
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 1463,Ljubljana,Lufthansa,Bombardier CRJX
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,EY 3790,Goteborg,Etihad,Airbus A321
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,SQ 2077,Marseille,Singapore,Airbus A320 (Sharklets)
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,NH 6049,Marseille,ANA,Airbus A320 (Sharklets)
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 1091,Marseille,Lufthansa,Airbus A320 (Sharklets)
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AC 9635,Marseille,Air Canada,Airbus A320 (Sharklets)
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LO 5109,Wrocław,LOT - Polish,Embraer 190
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,EN 8769,Wrocław,Air Dolomiti,Embraer 190
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,AZ 4351,Wrocław,ITA,Embraer 190
2025-10-06 06:00:00+00:00,2025-10-06 08:00:00+02:00,LH 6927,Wrocław,Lufthansa,Embraer 190
